name,dtr,scd,scd_weighted,selectivity,retain_utility,target_forgetting
k5_lam0.5_s0.pt,0.4994373676718585,0.09499212207382156,0.09776057660270722,0.4044452455980369,0.9059845365839959,0.4857142857142857
k5_lam0.5_s1.pt,0.5956236017690439,0.08448031523583303,0.11118766655137322,0.511143286533211,0.9170831629126568,0.3
k5_lam0.5_s2.pt,0.4249064753218617,0.12456831333300324,0.12454710374044237,0.3003381619888585,0.8817926667689215,0.38571428571428573
k5_lam0_s0.pt,0.5124474829928134,0.10497283540815522,0.12687885215464303,0.4074746475846582,0.8962653635562611,0.7857142857142856
k5_lam0_s1.pt,0.6382554855325149,0.08973784308106314,0.13216968111057242,0.5485176424514517,0.9106800770397995,0.6142857142857142
k5_lam0_s2.pt,0.5379201713274776,0.12984189003837557,0.15021293245468667,0.40807828128910206,0.8761618418608902,0.5714285714285714
k5_lam12_s0.pt,0.6313836251779336,0.13292627424417167,0.19666577608417424,0.49845735093376187,0.8706351536428057,0.7285714285714286
k5_lam12_s1.pt,0.6047831169923589,0.10961924980736942,0.18240259645617937,0.49516386718498945,0.8946009423964782,0.6571428571428571
k5_lam12_s2.pt,0.540911954946546,0.15005092428052969,0.1782606544804019,0.3908610306660163,0.8588879955659925,0.5857142857142856
k5_lam1_s0.pt,0.4966619814690829,0.09553398458139424,0.10104836223816767,0.4011279968876887,0.9054558423226121,0.5
k5_lam1_s1.pt,0.5790508517936435,0.08431249238143965,0.11148765139514807,0.4947383594122038,0.9172295658993355,0.3142857142857143
k5_lam1_s2.pt,0.4249064753218617,0.12526823738153958,0.12556442767859516,0.2996382379403221,0.8811307629811379,0.38571428571428573
k5_lam3_s0.pt,0.5432430475107156,0.0996095460257577,0.11194607756178723,0.44363350148495795,0.9017282948230191,0.5285714285714286
k5_lam3_s1.pt,0.6685608590844091,0.08624948393293953,0.11763562542663829,0.5823113751514696,0.9154585622707693,0.32857142857142857
k5_lam3_s2.pt,0.41122732962951475,0.1267171627440686,0.12824990765164465,0.28451016688544617,0.8796761318313943,0.4285714285714286
k5_lam6_s0.pt,0.5116269445709607,0.10592234415688644,0.11916873227005469,0.40570460041407425,0.8952837907643528,0.6142857142857142
k5_lam6_s1.pt,0.6757668103975147,0.08978628909908437,0.12577307218058778,0.5859805212984304,0.912117383911114,0.38571428571428573
k5_lam6_s2.pt,0.49309995654737887,0.13385959180726073,0.14018837711006224,0.3592403647401181,0.87253939090033,0.45714285714285713
