class,similarity,pre_acc,unl_acc,degradation,is_forget
tiger,1.0,0.9513088948427899,0.13200009474739224,0.8193088000953976,True
lion,0.547066330909729,0.8837141006820601,0.13075612793837524,0.7529579727436849,False
cat,0.4301324486732483,0.9202951249988762,0.6095651558328314,0.3107299691660448,False
raccoon,0.35255616903305054,0.926170414395745,0.6440901485694481,0.28208026582629686,False
dog,0.3285178542137146,0.9751865905525519,0.7936787762519427,0.18150781430060914,False
dragon,0.30347347259521484,0.9575973547807126,0.6789761968517491,0.27862115792896347,False
knee,0.1547858566045761,0.9346631366433347,0.6921704807843422,0.2424926558589925,False
car,0.1312488615512848,0.9909961685823755,0.9913905192793674,-0.0003943506969918964,False
lightning,0.1146116554737091,0.9132660041841658,0.7835315791126127,0.12973442507155308,False
bed,0.10056525468826294,0.9340227251801436,0.7487536067055999,0.18526911847454375,False
snail,0.08011453598737717,0.9557421357960567,0.7982768051179472,0.15746533067810953,False
donut,0.047391872853040695,0.9375410489860387,0.8385397509849428,0.09900129800109592,False
umbrella,0.044724270701408386,0.9796869764000149,0.9097539769568396,0.06993299944317533,False
tractor,0.04346255958080292,0.9753611131989581,0.9203022717794046,0.05505884141955353,False
ceiling_fan,0.041297223418951035,0.9685471743875819,0.8811035653650254,0.08744360902255643,False
house,0.03852199390530586,0.9647370059134764,0.8504519989814107,0.11428500693206578,False
hourglass,0.0350722000002861,0.9720666880934462,0.9368062574552908,0.03526043063815543,False
rifle,0.031127335503697395,0.9643376469307241,0.7642189185493551,0.20011872838136902,False
fireplace,0.029383758082985878,0.9608159117305459,0.9322557188304803,0.028560192900065617,False
streetlight,0.02385270968079567,0.93881350828736,0.7592708359788752,0.17954267230848475,False
dresser,0.02010297402739525,0.9091087514803136,0.8809389955601683,0.028169755920145256,False
aircraft_carrier,0.01796528697013855,0.9175427885954202,0.767312512049354,0.15023027654606613,False
floor_lamp,0.017359405755996704,0.9245608391335712,0.7023717611276832,0.22218907800588805,False
pliers,0.013987449929118156,0.9648073670144999,0.8500585449197503,0.11474882209474957,False
scissors,0.007585350424051285,0.9003728327672726,0.6347497743900473,0.26562305837722533,False
The_Eiffel_Tower,-7.547065615653992e-05,0.973357349010865,0.9650082497583798,0.00834909925248517,False
